书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
强风吹拂,三浦紫苑 , 林佩瑾 ,9.0,10853,明明这么痛苦，这么难过，为什么就是不能放弃跑步？, 广西师范大学出版社 , 2015-1-1 , 39.00元
设计中的设计,[日] 原研哉 , 朱锷 ,8.6,29429,日常生活的无限可能性, 山东人民出版社 , 2006-11 , 48.00元
额尔古纳河右岸,迟子建 , ,9.0,12739,东北少数民族鄂温克人生存现状及百年沧桑, 北京十月文艺出版社 , 2005-12-1 , 29.00元
庄子,孙通海 译注 , 方勇 译注 ,9.4,7348,野马也，尘埃也，生物之以息相吹也, 中华书局 , 2007-04 , 20.00元
恶意,[日] 东野圭吾 , 娄美莲 ,8.4,192842,将手记体叙事的无限可能发挥得淋漓尽致, 南海出版公司 , 2009-6 , 18.00
影响力,[美] 罗伯特·西奥迪尼 , 陈叙 ,8.6,39181,营销防骗指南, 中国人民大学出版社 , 2006-5 , 45.00元
象棋的故事,[奥] 斯台芬·茨威格 , 张玉书 ,9.1,8435,纳粹法西斯对人心灵的折磨及摧残, 上海译文出版社 , 2007-7 , 23.00元
稻草人手记,三毛 , ,8.9,14322,三毛在加纳利群岛上的生活, 北京十月文艺出版社 , 2009-3 , 18.00元
你一生的故事,[美] 特德·姜 , 李克勤 ,8.6,21538,特德·姜科幻小说集, 译林出版社 , 2015-5 , 36.00元
毛姆短篇小说精选集,(英)威廉·萨默塞特·毛姆 , 冯亦代 ,9.1,8357,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧, 译林出版社 , 2012-11 , 36.00元
ZOO,[日] 乙一 , 李颖秋 ,8.6,33743,噩梦中的一丝温度, 当代世界出版社 , 2007-10 , 20.00元
狂热分子,[美] 埃里克·霍弗 , 梁永安 ,8.9,10028,探讨群众运动的共有特征, 广西师范大学出版社 , 2011-6 , 34.00元
夏洛的网,[美] E.B.怀特 , 任溶溶 ,8.6,51101,一个蜘蛛和小猪的故事，写给孩子，也写给大人, 上海译文出版社 , 2004-5 , 17.00元
世界的凛冬,[英] 肯·福莱特 , 陈杰 ,8.8,19513,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长, 江苏凤凰文艺出版社 , 2017-3-1 , 132.00（全三册）
世界尽头与冷酷仙境,[日] 村上春树 , 林少华 ,8.6,36848,交叉平行蒙太奇, 上海译文出版社 , 2002-12 , 23.00元
香水,[德] 帕·聚斯金德 , 李清华 ,8.5,36080,每一次谋杀只因迷恋她们身上的味道, 上海译文出版社 , 2005-5 , 20.00元
挪威的森林,[日] 村上春树 , 林少华 ,8.5,98794,像喜欢春天的熊一样, 上海译文出版社 , 2007-7 , 23.00元
论语,中华书局 , ,9.1,12409,仁远乎哉？我欲仁，斯仁至矣,中华书局 , 2006-12 , 9.80元
佐贺的超级阿嬷,[日] 岛田洋七 , 陈宝莲 ,8.7,18148,乐观的外婆却总有神奇的办法, 南海出版公司 , 2007-3 , 20.00元
社会契约论,卢梭 , 何兆武 ,8.8,13351,一个国家只能有一个契约, 商务印书馆 , 2003-2-1 , 18.00元
当呼吸化为空气,[美] 保罗·卡拉尼什 , 何雨珈 ,8.8,15614,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气, 猫头鹰文化·浙江文艺出版社 , 2016-12 , 48.00元
告白,[日]凑佳苗 , 丁世佳 ,8.5,10459, , 哈尔滨出版社 , 2010年6月 , 26.00元
牡丹亭,汤显祖 , ,9.0,9219,不到园林，怎知春色如许, 人民文学出版社 , 1963-4-1 , 14.50元
步履不停,[日] 是枝裕和 , 郑有杰 ,8.7,24831,人生路上，步履不停，总有那么一点来不及, 北京联合出版公司 , 2017-5 , 36.80元
故事新编,鲁迅 , ,9.2,7638,拾取古代传说，取一点因由，随意点染, 人民文学出版社 , 1973-12-01 , 0.31 元
多情剑客无情剑(上、中、下),古龙 , ,8.7,16530,流水滔滔斩不断，情丝百结冲不破, 海天出版社 , 1991-12-01 , 49.8
人类的群星闪耀时,[奥] 斯蒂芬·茨威格 , 舒昌善 ,8.7,19953,十四个影响人类文明的瞬间, 广西师范大学出版社 , 2004-8 , 18.00元
荒原狼,[德]赫尔曼·黑塞 , 赵登荣 ,9.0,10128,“超现实主义”风格作品，德国的《尤利西斯》, 上海译文出版社 , 2008-7 , 13.00
通往奴役之路,弗里德利希・冯・哈耶克 , 王明毅 ,8.8,12437,古典自由主义杰作, 中国社会科学出版社 , 1997-08-01 , 16.00
别闹了，费曼先生,费曼 , 吴程远 ,8.9,8455,科学顽童的故事, 生活·读书·新知三联书店 , 1997-12 , 22.00
老人与海,海明威 , 吴劳 ,8.4,153943,正是悲壮赋予生活以意义, 上海译文出版社 , 1999-10 , 8.20元
二手时间,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 ,8.8,13734,用最为细小的马赛克拼出了一幅完整的后苏联时代图景, 中信出版集团 , 2016-1 , 55.00元
哈姆莱特,[英] 莎士比亚 , 朱生豪 ,8.6,35240,生存还是毁灭，这是一个值得思考的问题, 人民文学出版社 , 2001-1 , 7.00元
美国宪政历程,任东来 , ,9.1,6674,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中, 中国法制出版社 , 2014-1 , 35.00元
美丽新世界,[英] 阿道司·赫胥黎 , 王波 ,8.7,20715,最经典的反乌托邦文学之一, 重庆出版社 , 2005-6 , 20.00元
欢乐英雄,古龙 , ,8.8,12731,坚持自己的信念，在贫穷中获得欢乐与友谊, 珠海出版社 , 2005-8 , 28.00元
金阁寺,[日] 三岛由纪夫 , 唐月梅 ,8.7,19697,他的犯罪动机是对美的嫉妒, 上海译文出版社 , 2009-1 , 24.00
一个人的村庄,刘亮程 , ,8.9,11571,他是真正的作家，也是真正的农民, 春风文艺出版社 , 2006-1-1 , 28.00元
海底两万里,[法国] 儒尔·凡尔纳 , 沈国华 ,8.5,79170,你听说过鹦鹉螺号吗？, 译林出版社 , 2002-9 , 19.50元
西方哲学史（上卷）,[英] 罗素 , 何兆武 ,8.9,11411,西方哲学史及其与从古代到现代的政治、社会情况的联系, 商务印书馆 , 1963-9 , 25.00
规训与惩罚,[法] 米歇尔·福柯 , 刘北成 ,9.2,6109,伴随着惩罚的人性化，自由反而日益丧失了, 生活·读书·新知三联书店 , 2003-1 , 21.80元
棋王·树王·孩子王,阿城 , ,9.2,8393, , 江苏文艺出版社 , 2016-3-1 , 58.00
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦 , 李之义 ,9.0,7964, , 中国少年儿童出版社 , 1999-3 , 17.80元
骆驼祥子,老舍 , ,8.4,149783,旧中国老北京贫苦市民的典型命运, 人民文学出版社 , 2000-3-1 , 12.00
批评官员的尺度,[美] 安东尼·刘易斯 , 何帆 ,8.9,8406,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案, 北京大学出版社 , 2011-7 , 32.00元
尘埃落定,阿来 , ,8.5,51222,一个傻子的土司家族传奇, 人民文学出版社 , 1998-3-1 , 22.0
了不起的盖茨比,[美] 斯科特·菲茨杰拉德 , 邓若虚 ,8.7,23500, , 南海出版公司 , 2012-5 , 25.00元
那些回不去的年少时光·终场,桐华 , ,8.7,19214,青春的逝去并不可怕，可怕的是失去了勇敢地热爱生活的心, 江苏文艺出版社 , 2010-04 , 23.80元
过于喧嚣的孤独,(捷克) 赫拉巴尔 , 杨乐云 ,8.8,10669,我为它而活着，并为写它推迟了我的死亡, 北京十月文艺出版社 , 2011-10 , 22.00元
2001太空漫游,[英] 阿瑟·克拉克 , 郝明义 ,9.1,6540,科幻三巨头之一阿瑟·克拉克代表作, 上海人民出版社 , 2007-11 , 28.00元
社会性动物,Elliot Aronson , 邢占军 ,9.1,8243,美国社会心理学的《圣经》, 华东师范大学出版社 , 2007-12 , 45.00元
娱乐至死,[美] 尼尔·波兹曼 , 章艳 ,8.5,34514,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸, 广西师范大学出版社 , 2011-6 , 29.80元
心理学与生活,[美] 理查德·格里格 , 王垒 ,8.8,16161,是教科书，也是通俗易懂的好读物, 人民邮电出版社 , 2003-10 , 88.00元
小姨多鹤,严歌苓 , ,8.6,27658,两个女人的史诗, 作家出版社 , 2008-4 , 28.00元
论美国的民主,[法] 托克维尔 , 董果良 ,9.2,6861,上卷讲述美国政治制度，对美国的民主进行社会学分析，下卷以美国为背景发挥其政治哲学和政治社会学思想, 商务印书馆 , 1989-1-1 , 60.00
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 吴正仪 ,8.9,9307, , 译林出版社 , 2012-4 , 22.00元
呼啸山庄,（英）勃朗特 , 张扬 ,8.4,102174,近乎暴虐的爱与恨, 人民文学出版社 , 1999-01-01 , 27.30元
