书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
傲慢与偏见,[英] 奥斯丁 , 张玲 ,8.9,184658,所有现代言情小说的母体, 人民文学出版社 , 1993-7 , 13.00元
格林童话全集,[德国]格林兄弟 , 魏以新 ,9.0,68475,一本有教育意义的书, 人民文学出版社 , 1994-11 , 21.45元
我与地坛,史铁生 , ,9.1,57892,这是你的罪孽与福祉, 春风文艺出版社 , 2002-5 , 25.00元
黄金时代,王小波 , ,8.9,122613,我想爱，想吃，还想在一瞬间变成天上半明半暗的云, 花城出版社 , 1999-3 , 19.00元
历史深处的忧虑,林达 , ,9.0,36224,窥见美国社会的一扇窗, 生活·读书·新知三联书店 , 1997-5 , 19.00元
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 ,8.9,97103,童谣杀人案, 人民文学出版社 , 2008-3 , 19.00
文学回忆录（全2册）,木心 口述 , ,9.1,33526,木心留给世界的礼物, 广西师范大学出版社 , 2013-1-10 , 98.00元
白鹿原,陈忠实 , ,9.2,43060,一轴关于我们民族灵魂的现实主义画卷, 人民文学出版社 , 2012-9 , 39.00元
史记（全十册）,司马迁 , （索引）司马贞，（正义）张守节 ,9.5,16608,史家之绝唱，无韵之离骚, 中华书局 , 1982-11 , 125.00
神雕侠侣,金庸 , 有1996年11月北平第4次印本 ,8.9,79440,至情至性，情大于武, 生活·读书·新知三联书店 , 1994-5 , 76.80元
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 ,9.6,14623,从最早的洞窟绘画到当今的实验艺术, 广西美术出版社 , 2008-04 , 280.00
悲惨世界（上中下）,[法] 雨果 , 李丹 ,9.0,49171,现实主义与浪漫主义的至高杰作, 人民文学出版社 , 1992-6 , 66.00元
上帝掷骰子吗,曹天元 , ,9.2,22022,量子物理史话, 辽宁教育出版社 , 2006-1 , 32.00元
许三观卖血记,余华 , ,8.8,188930,以博大的温情描绘磨难中的人生, 南海出版公司 , 1998-9 , 16.80元
哭泣的骆驼,三毛 , ,8.9,44256,沙漠中寻常的生与死, 哈尔滨出版社 , 2003-6 , 15.80元
看见,柴静 , ,8.8,273580,在这里看见中国, 广西师范大学出版社 , 2013-1-1 , 39.80元
浪潮之巅,吴军 , ,9.0,26179,了解IT领域的入门读物, 电子工业出版社 , 2011-8 , 55.00元
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 , 荣如德 ,9.4,14597,错综复杂的社会、家庭矛盾和人性悲剧, 上海译文出版社 , 2006-8 , 25.00元
灿烂千阳,[美] 卡勒德·胡赛尼 , 李继宏 ,8.8,90456,唯有希望与爱可以驱散阴霾, 上海人民出版社 , 2007-9 , 28.00元
邓小平时代,[美] 傅高义 , 冯克利 ,9.1,28467,个人命运背后的历史变局, 生活·读书·新知三联书店 , 2013-1 , 88.00元
树上的男爵,[意大利]伊塔洛·卡尔维诺 , 吴正仪 ,9.1,22466,是不是真的只有先与人疏离，才能最终与他们在一起？, 译林出版社 , 2012-4-1 , 30.00元
台北人,白先勇 , ,8.9,34576,白先勇短篇小说集, 广西师范大学出版社 , 2010-10 , 38.00元
诗经,孔丘 编订 , ,9.4,16954,思无邪, 北京出版社 , 2006-7 , 19.90元
人间词话,王国维 , ,9.0,39372,以新眼光评旧文学, 上海古籍出版社 , 1998-12-01 , 9.80元
窗边的小豆豆,[日] 黑柳彻子 著 , 赵玉皎 ,8.7,156745,真正懂孩子的教育经, 南海出版公司 , 2003-1 , 20.00元
永恒的终结,[美] 艾萨克·阿西莫夫 , 崔正男 ,9.0,23191,关于时间旅行的终极奥秘和恢宏构想, 江苏凤凰文艺出版社 , 2014-9-1 , 32.00元
西游记（全二册）,吴承恩 , 黄肃秋 注释 ,8.9,57717,神魔皆有人情，精魅亦通世故, 人民文学出版社 , 2004-8 , 47.20元
